ra	dec	plx	pmra	pmdec	G	BP	RP
325.976292	57.824146	2.3942	-9.937	-14.444	9.646	9.854	9.291
323.643087	56.546672	2.0743	7.425	8.374	9.663	9.894	8.619
325.131534	57.277978	2.5904	-3.192	-7.822	9.679	10.295	8.926
324.989987	57.604536	1.0462	-2.134	-5.172	9.681	9.726	9.558
324.444997	57.118212	1.6601	11.561	3.436	9.702	10.438	8.864
326.918345	57.598513	0.6598	-2.116	-5.985	9.724	11.933	8.383
323.372825	57.675528	1.0527	-2.706	-3.174	9.740	9.942	9.376
323.677907	58.650739	0.8033	-3.185	-2.638	9.755	9.990	9.348
323.123686	58.295188	1.7914	-0.082	-10.587	9.765	10.572	8.888
324.431404	56.986145	6.7659	4.984	-50.461	9.765	9.909	9.132
325.139015	58.205340	0.9968	-2.008	-3.178	9.800	10.047	9.374
324.942952	57.659757	0.4675	-6.093	-5.710	9.807	12.282	8.404
325.302907	57.775036	1.0995	-2.361	-3.750	9.808	9.869	9.653
325.624693	58.830111	5.2513	23.119	9.339	9.811	10.062	9.383
324.943638	57.340766	0.6456	3.801	-1.097	9.823	11.663	8.547
326.669219	57.293508	1.2775	-5.322	-2.640	9.827	10.025	9.513
324.021359	57.290596	1.6184	-11.001	-2.380	9.841	10.582	9.000
323.850051	58.752865	1.0619	-1.338	-3.762	9.848	10.023	9.530
326.908298	57.170630	5.4404	16.146	4.648	9.856	10.081	9.479
325.573549	56.238309	0.9527	-13.493	-9.537	9.897	11.215	8.780
323.259237	57.372255	3.1510	-11.034	-16.834	9.899	10.007	9.693
323.887130	57.109027	10.3938	-84.064	64.496	9.903	10.290	9.348
324.176516	58.672303	0.8471	-5.601	-10.740	9.908	11.847	8.613
323.223146	57.620735	8.9899	57.232	11.171	9.911	10.243	9.412
324.478792	56.906302	4.7420	17.660	-1.200	9.914	10.135	9.541
322.639169	58.030908	1.1111	-4.252	-2.912	9.918	10.077	9.622
325.621278	57.847248	1.0736	-4.151	-4.287	9.933	10.017	9.751
325.045757	58.296307	3.3991	-9.923	-26.259	9.933	10.430	9.277
324.996004	58.765583	1.3698	11.664	2.666	9.946	11.039	8.926
325.390214	56.854923	1.1309	0.292	-2.477	9.948	10.121	9.631
322.784395	58.431264	0.6893	-2.723	0.419	9.960	11.386	8.813
325.402550	58.224146	1.4950	0.925	-4.495	9.965	10.194	9.577
323.847710	57.524437	1.1322	-2.870	-4.965	9.976	10.132	9.658
325.803046	58.625209	2.4783	9.512	0.145	9.996	10.201	9.646
327.098325	57.707835	0.9578	2.068	-3.954	10.006	11.684	8.779
326.864034	57.967700	1.6795	-0.964	-0.570	10.010	10.733	9.183
322.371298	58.008326	1.7364	-7.383	-7.615	10.015	10.287	9.573
325.681566	57.199983	0.8140	-3.172	-5.717	10.026	11.310	8.913
324.405119	56.525971	1.4054	5.909	1.631	10.026	11.070	9.030
324.331760	57.437220	1.4839	0.171	-2.627	10.029	10.280	9.610
325.000156	56.543581	3.2410	30.266	8.111	10.037	10.263	9.656
323.733183	57.381656	1.6872	-10.931	-10.198	10.040	10.692	9.262
325.076512	57.510916	1.0595	-2.213	-4.702	10.048	10.159	9.819
326.582079	57.055301	0.7344	-3.856	-2.382	10.059	10.855	9.173
322.517652	57.786111	1.1047	-4.309	-3.003	10.063	10.228	9.754
324.808633	57.801313	1.1290	-3.626	-2.660	10.070	10.253	9.730
323.942168	57.372046	4.7062	-13.847	-5.384	10.098	10.333	9.688
322.823093	57.266437	3.9351	8.638	4.575	10.108	10.307	9.769
326.548503	57.798015	1.0984	-1.533	-3.432	10.116	10.377	9.675
324.497227	58.223074	0.1748	-2.474	-2.338	10.122	11.968	8.857
